id,loan_status
58645,0.8542801232997995
58646,0.08010929467541829
58647,0.6163954998180408
58648,0.04867145158692487
58649,0.1878242352385269
58650,0.8139533760647913
58651,0.05058769948297756
58652,0.02662307840565994
58653,0.22141145099565876
58654,0.06366667753493259
58655,0.10453303023426574
58656,0.14035166918718547
58657,0.07920236800173665
58658,0.026130043343703353
58659,0.08568750061539185
58660,0.15502989331695005
58661,0.048616609525142906
58662,0.03557745935967608
58663,0.06096221719125262
58664,0.05359790756290538
58665,0.0803042368023517
58666,0.08580913148882802
58667,0.0255162816148798
58668,0.03176988787418234
58669,0.08196601726574845
58670,0.014729051291851472
58671,0.1057143887167255
58672,0.0594150570557579
58673,0.8095622111262933
58674,0.017917293556584335
58675,0.04550240944374926
58676,0.25252757967109707
58677,0.0733099779576931
58678,0.026221536587766048
58679,0.317900354008963
58680,0.8966253478502044
58681,0.05684093550660887
58682,0.015462886413882836
58683,0.11420203100348263
58684,0.10219258529092412
58685,0.1659110384418208
58686,0.08821328477065712
58687,0.44774742935994893
58688,0.03857642310392986
58689,0.26193844024365237
58690,0.04444612021551922
58691,0.05471709560931991
58692,0.09327469418209042
58693,0.032821370934475916
58694,0.07997139673112977
58695,0.7139667295807292
58696,0.06748928991347537
58697,0.16083317038723569
58698,0.07209783947275063
58699,0.07301935447254874
58700,0.0274444886735585
58701,0.03441201833402055
58702,0.047219303899026455
58703,0.16002407033964958
58704,0.21757946209331241
58705,0.17169325331064153
58706,0.11848297455083015
58707,0.06574504553539418
58708,0.04747061541355096
58709,0.8925214366638665
58710,0.07539940148401111
58711,0.8620807432699475
58712,0.08602025828986311
58713,0.033201335475162276
58714,0.08424209081483529
58715,0.02078967634853002
58716,0.0808322545826859
58717,0.04884721853195998
58718,0.18501717226365097
58719,0.023943986174770608
58720,0.014210618920904788
58721,0.12487837056376867
58722,0.2462915929211357
58723,0.07163691468322214
58724,0.0858933916544405
58725,0.05307753090402568
58726,0.10276432172435804
58727,0.33613548414621996
58728,0.13389653878500468
58729,0.03988492972182558
58730,0.10527524535740383
58731,0.07604637318517021
58732,0.12204450039975279
58733,0.009741536930049748
58734,0.07850781930765455
58735,0.09508738153562156
58736,0.16476478700457572
58737,0.10401516715637814
58738,0.8271068100329422
58739,0.1542711839489784
58740,0.7599238386756774
58741,0.06345525939335352
58742,0.02627034587169287
58743,0.08418974019480778
58744,0.034483031363331945
58745,0.02936831413291234
58746,0.07758806593875027
58747,0.0246280751920395
58748,0.048442276369919976
58749,0.06625570002457112
58750,0.0848872512438998
58751,0.07728566433697114
58752,0.8690470862455307
58753,0.03334936983169386
58754,0.13622333067611586
58755,0.11080339730275908
58756,0.04547816203628478
58757,0.07725082556302533
58758,0.027125779274995127
58759,0.009788808969363991
58760,0.041929070583865254
